model|source|pk|prompt
gpt-4-turbo|normbank|01HJPMD5KHA2JT3DNJ9ZGVPBT8|sit by the fire
gpt-4-turbo|normbank|01HJPMD5KZF6C4XRS39KMXWK39|eat a messy food
gpt-4-turbo|normbank|01HJPMD5MPYGA2WHH82K2Z13S8|sit on the benches
gpt-4-turbo|normbank|01HJPMD5NCGGKXQKBETH76PPG0|kick the tires
gpt-4-turbo|social_iqa|01HJPMD5P22RRE0M3EH5SJKBAQ|Quinn sent Cameron flowers in an apology for what he did.
gpt-4-turbo|social_iqa|01HJPMD5PSHNB5P0R7RBAM8FDM|Bailey paid their cable bill but it was already beyond the past due date.
gpt-4-turbo|social_iqa|01HJPMD5QB241H5E90RDBJ3HEM|Sydney brought flowers into the field to set up the wedding spot for Tracy's wedding.
gpt-4-turbo|social_iqa|01HJPMD5QR8AFTP4S3AJGW69NZ|Ash let their friend off with a warning. It was clear it could not happen again.
gpt-4-turbo|social_chem|01HJPMD5REZ4XC3RM2GXQWWXD7|getting on the bus awkwardly
gpt-4-turbo|social_chem|01HJPMD5S5A2M9QDA5044PH435|I stopped denying I had a problem and enrolled into a facility.
gpt-4-turbo|social_chem|01HJPMD5SWAM82KEZJQXG77TZ6|thinking I made a girl self concious
gpt-4-turbo|normbank|01HJPQ334Y2Z7PP3P3SPFTGGCM|show off
gpt-4-turbo|normbank|01HJPQ335HRCMK86RZXX3245A3|leave food out in the open
gpt-4-turbo|normbank|01HJPQ3367R2437H6HPX2MJD76|sing along to the radio
gpt-4-turbo|normbank|01HJPQ336X745MQY1FH72DGSR4|use a keurig machine
gpt-4-turbo|normbank|01HJPQ337KACYQKFSZEKS9F3SS|pray or meditate
gpt-4-turbo|normbank|01HJPQ338A10FM1ZYE51ESZHX1|sleeping on the floor
gpt-4-turbo|normbank|01HJPQ338WE1Q8DBR98BH3YHVP|hang upside down
gpt-4-turbo|normbank|01HJPQ339JM832EQGBGG3QGX48|cage or pen the animals
gpt-4-turbo|normbank|01HJPQ33A91AZT5CSX4PFNRPKW|eat a donut
gpt-4-turbo|normbank|01HJPQ33B34Y6CZJC53AXYF1GN|use a power drill
gpt-4-turbo|normbank|01HJPQ33BTK92E00275JPTEXW3|judge someone's teeth
gpt-4-turbo|normbank|01HJPQ33CGAJ3VKRNHJVS6VJJZ|play volleyball
gpt-4-turbo|normbank|01HJPQ33D705RRB75Z0TDPQ3YS|hide under the bed
gpt-4-turbo|normbank|01HJPQ33DXMT762PFHK90FJDTJ|sell your textbooks
gpt-4-turbo|normbank|01HJPQ33EP6E678RH26Q0ZDS4Q|boo the rodeo clown
gpt-4-turbo|normbank|01HJPQ33FFAF1A8917QYFGG8S2|write down your score
gpt-4-turbo|normbank|01HJPQ33G6W0ZMAG5EKMJZJP2B|ask for a specific doctor by name
gpt-4-turbo|normbank|01HJPQ33GWVVQWKSEC79C1JN8S|dance in the waiting room
gpt-4-turbo|normbank|01HJPQ33HNVVWB4S7WRCEPAWY4|put on the blinkers
gpt-4-turbo|normbank|01HJPQ33JEYKACME5CXJY7YDAN|cook without a recipe
gpt-4-turbo|normbank|01HJPQ33K56XWEQ4YVRX5MBC2Q|ask someone personal questions
gpt-4-turbo|normbank|01HJPQ33KVDD3WV3VE2T94ZPEY|hire and train employees
gpt-4-turbo|normbank|01HJPQ33MHGVCYRANR78DHASW5|take a child's toy away from them
gpt-4-turbo|normbank|01HJPQ33N8G6WZVVK34ZZG8A8N|smoking cigarettes
gpt-4-turbo|normbank|01HJPQ33NYXCK63E6FF47F2Q3V|watch a film about apartheid
gpt-4-turbo|normbank|01HJPQ33PM9T2CZZ5Q5KWEQ07Y|cook with horse meat
gpt-4-turbo|normbank|01HJPQ33Q7BEPJ179YJEC1VSQ3|wearing headphones
gpt-4-turbo|normbank|01HJPQ33QXEQV555VJKRHRF22N|dance on a pole
gpt-4-turbo|normbank|01HJPQ33S00YW7N8FRMBJMP9SA|use a communal shower
gpt-4-turbo|normbank|01HJPQ33SQTAC6Q04VW98H07VB|checking out someone
gpt-4-turbo|normbank|01HJPQ33T971CF9VBZZ7NHSWHD|make a mud pie
gpt-4-turbo|normbank|01HJPQ33V00W6SBBRFHJVY06X5|use a whistle
gpt-4-turbo|social_iqa|01HJPQ33VJRBNR85ABZADQJG2H|Despite knowing Sasha's future capabilities, Alex spared Sasha's life this time.
gpt-4-turbo|social_iqa|01HJPQ33W4CDZ35BD8K4K0JQ18|Kai found a new friend and forgot all about their old friends instantly.
gpt-4-turbo|social_iqa|01HJPQ33WTM4CAR8T6EAYZ1621|Taylor lost their engagement ring in the hope, she desperately hoped she would find it and after two long hours searching, it was found in her jean pocket.
gpt-4-turbo|social_iqa|01HJPQ33XHH3GDRCH7G1A3H555|Casey rode her bike to the movies and had a great time there.
gpt-4-turbo|social_iqa|01HJPQ33Y97J36DFCMZP3PCJ36|Sasha was going to bake pizza for dinner tonight. She took the pizza out of the freezer.
gpt-4-turbo|social_iqa|01HJPQ33Z3M5F2PR1XA2TDBMTP|Cameron brought Taylor home. They talked for a minute and the Cameron left, he was hungry and tired.
gpt-4-turbo|social_iqa|01HJPQ33ZSJGSH3BW7Y1M05BDH|Taylor gave their daughter up for adoption without telling the father first.
gpt-4-turbo|social_iqa|01HJPQ340FZ5K93PDGTQPC0X2X|Jan found time to spend with her friends after being busy all month.
gpt-4-turbo|social_iqa|01HJPQ34164S4F18XWW9NNM0JB|Lee quickly began running and eventually won the race.
gpt-4-turbo|social_iqa|01HJPQ341WTJ04ME0ZW54H6DDM|Carson assisted Casey in achieving the goal they wanted to accomplish.
gpt-4-turbo|social_iqa|01HJPQ342HHEB7237NNQ1SCX65|Quinn required Alex's effort to complete their work since the project's deadline was approaching fast.
gpt-4-turbo|social_iqa|01HJPQ3438TZ04NXH39TK7G2XM|Quinn made their point on the matter and everybody was in agreement.
gpt-4-turbo|social_iqa|01HJPQ343YYJXYPYFKWM7S587Q|Bailey took Quinn aside to talk about the problem of having too many cigarettes.
gpt-4-turbo|social_iqa|01HJPQ344HEEFGZSP55A12A9ES|Remy bought concert tickets so she could go see the band perform live.
gpt-4-turbo|social_iqa|01HJPQ347QXCMW4JMZNBXYRWTW|Remy wanted to have a nice garden, so they decided to grow flowers.
gpt-4-turbo|social_iqa|01HJPQ348EB61X00D59WG6CR9E|Jordan suddenly heard a knock at his door as he was sleeping silently.
gpt-4-turbo|social_iqa|01HJPQ349772CCRAFJWYXYDFP3|Quinn was in a hurry to get to work and forgot if he had locked the door so he had to go back to double check.
gpt-4-turbo|social_iqa|01HJPQ349S7J1YT9S0ZV84SMRF|kendall heard someone call her name so she immediately turned around.
gpt-4-turbo|social_iqa|01HJPQ34AGD5SCZP2QJGN8E8MQ|The mad scientist known as Remy wanted to harness the power of the Earth's core, so he used his giant drill to reach it.
gpt-4-turbo|social_iqa|01HJPQ34B9X7MAY2GRDQBKSFXJ|Riley was taking a spelling class and spelled the word apple correctly.
gpt-4-turbo|social_iqa|01HJPQ34C2EME19P31F4462QVA|Jesse shared Jordan's love of Harry Potter. They decided to see every showing of Half Blood Prince that they could when it was released.
gpt-4-turbo|social_iqa|01HJPQ34CV727G9RE7429PTS3N|Lee exhausted every alternative and still was not ready to give up on the quest.
gpt-4-turbo|social_iqa|01HJPQ34DHBFH5GW7AVXC7SVH5|Sasha played basketball well.
gpt-4-turbo|social_iqa|01HJPQ34DZ0JVBKF9G9EFC4RGC|Riley saved Jan's life by pulling her out of the sinking car.
gpt-4-turbo|social_iqa|01HJPQ34EN6HRXAE0GVCVZJHMC|Jan took Kendall to a doctor despite protests from Kendall telling them not to.
gpt-4-turbo|social_iqa|01HJPQ34FBFQY3TF19RBSQN2QZ|Lee decided that they would go ahead and marry another man.
gpt-4-turbo|social_iqa|01HJPQ34G1EN08TF0Q44Q5W4K2|Carson woke up late, they run around quickly getting dressed before running out to start their truck.
gpt-4-turbo|social_iqa|01HJPQ34GR3FB0EVQ02FHS8HSK|Alex said something out of anger, but then Alex took it back.
gpt-4-turbo|social_iqa|01HJPQ34HEWZCSYQ985CQN08DB|Jan needed to make something for a school bake sale and decided on brownies.
gpt-4-turbo|social_iqa|01HJPQ34J5PXTW9MQTNA02TSFV|Ash assisted his father in understanding all of the paper work that day.
gpt-4-turbo|social_iqa|01HJPQ34JVRPARF2NM2N3WBGHW|Kai was a big sister and got some gifts for the birthday party.
gpt-4-turbo|social_iqa|01HJPQ34KJYFHGXWB076ST7F8G|Skylar became a millionaire after coming up with an invention that sold well.
gpt-4-turbo|social_chem|01HJPQ34M9ETPZ75HJHX1FZKA5|wanting the women who is interested in dating me to go the gym
gpt-4-turbo|social_chem|01HJPQ34MNXXMVTAHX174647YA|telling my good friends parents he has no job
gpt-4-turbo|social_chem|01HJPQ34N8V0HZRVGF2JPK8KHE|Husband Treats Wife Like The Poo On His Shoes
gpt-4-turbo|social_chem|01HJPQ34NZYMHJ00EMBD6R3NJV|Breakdown in Communication Is No Service to Customer
gpt-4-turbo|social_chem|01HJPQ34PNXSMR7GNE7A9C1VC6|His tummy ached throughout the night and he knew why his mom was right.
gpt-4-turbo|social_chem|01HJPQ34QB8SYBW6FEWRB4YXP3|sleeping with my ex
gpt-4-turbo|social_chem|01HJPQ34R24ZGW7R7ERK4K0VWA|She forced herself to trudge through her laziness.
gpt-4-turbo|social_chem|01HJPQ34RMDPWK6KQ077WK9JC0|being upset my ex didnt want me again
gpt-4-turbo|social_chem|01HJPQ34S6QRVZPVYYGK5QKZ4V|I have a Me Too story from a decade ago that I've chosen not to go public with. This movement causes me anxiety and I can't admit it to anyone because I know it's extremely important and it's not anyone else's fault I don't know how to find healing for myself.
gpt-4-turbo|social_chem|01HJPQ34SWZEWXGGFDRDEA5EMS|telling my gf she needs to at least attempt finishing her meals if I'm paying for them
gpt-4-turbo|social_chem|01HJPQ34TK02EM424V7QMBZFSA|I’m no longer satisfied with any game I own or find
gpt-4-turbo|social_chem|01HJPQ34VDHWPE4G9T88Q9CXP6|Victim's Silence Allows Rapist to Go Unpunished
gpt-4-turbo|social_chem|01HJPQ34W41585EP7MQ3C9WAHH|It’s been 5 years...and 8 since we’ve seen each other.
gpt-4-turbo|social_chem|01HJPQ34WVTGBB7CK6CNG0QCY8|hating the resident asshole in our apartment complex
gpt-4-turbo|social_chem|01HJPQ34XDAYX632YKKD2J6XF1|insulting his sister in front of his life long friends
gpt-4-turbo|social_chem|01HJPQ34Y3S1TDPTRX1CCH6VPG|I love apples so I immediately went to eat one.
gpt-4-turbo|social_chem|01HJPQ34YSGHPWGWH0EBJ4DEC5|It’s been a year since my big brother passed away and it breaks my heart knowing it was because of me
gpt-4-turbo|social_chem|01HJPQ34ZG9WZEDX6BV5QZB1QG|I Tell My Long Distance Gf That I Will Go To Sleep But Instead, I Play Video Games With My Buddies.
gpt-4-turbo|social_chem|01HJPQ35060GM48AFNSCJMECZA|I kinda wish I was a girl.
gpt-4-turbo|social_chem|01HJPQ350XMQFGD1XR1JP07HGE|not wanting to waste food
gpt-4-turbo|social_chem|01HJPQ351KEXW7QH2KM4QNZGQK|asking a customer if they had any of our bread in their plastic bag
gpt-4-turbo|social_chem|01HJPQ352AZ5BVHDB5XN09T1DN|Mom's Internet Sleuthing Gives Daughter the Creeps
gpt-4-turbo|social_chem|01HJPQ3531Q5GCT4QG44GY5W2S|My partner and I get on well most of the time, but....
gpt-4-turbo|social_chem|01HJPQ353SVM28W987V3978E0A|Im a average looking guy and girls are creeping me out sometimes with their lines...
gpt-4-turbo|social_chem|01HJPQ354ERMAK00E8KZAHSE3V|resenting my parents for raising me in the middle of fucking no where
gpt-4-turbo|social_chem|01HJPQ3554RWK2N6MG6G9Z5GDA|Husband's Micromanagement Wears Thin on Wife at Home
gpt-4-turbo|social_chem|01HJPQ355VT7NMHYCC0PP6ME2H|Mother Protecting Daughter Provokes Ugly Family Fight
gpt-4-turbo|social_chem|01HJPQ356HXQ4X0JCWTMYRBYKX|When he hit me, I fought back until he stopped.
gpt-4-turbo|social_chem|01HJPQ3574NKJDJNYSDRH5H9JE|He carried the blanket with him wherever he went.
gpt-4-turbo|social_chem|01HJPQ357TFY29XE1VFWF1M45X|wanting nothing to do with my aunt after she was disgracefully rude at my grandmothers funeral
gpt-4-turbo|social_chem|01HJPQ358FJXRS50GTYCZEPP4Y|I wish we went to war with Iran just for the thrills of it
gpt-4-turbo|social_chem|01HJPQ358XBETCTVFD54HARQKW|But as she had no family, she was all alone.
gpt-4-turbo|social_chem|01HJPQ359KFCYGGKPH0ZH8YBT1|Not a confession but I have a question to ask
gpt-4-turbo|social_chem|01HJPQ35AARQABTSVC8KRPMP2J|Boyfriend yells and throws tantrums when he plays video games and it gives me anxiety attacks. Somehow I feel bad for it though.
gpt-4-turbo|normbank|01HJPTHKY9BWB1S1MDM0B8E83D|lean against the machine
gpt-4-turbo|normbank|01HJPTHKYXAWZ913AFQWG4XETX|change your clothes in public
gpt-4-turbo|normbank|01HJPTHKZNK6BM2RJHRNY1H3GD|conduct research on animals
gpt-4-turbo|normbank|01HJPTHM06Z0SEGNHPW9MM903A|eat a hotdog
gpt-4-turbo|normbank|01HJPTHM0WARWWMV0HBAC6XCQY|act interested in the cars
gpt-4-turbo|normbank|01HJPTHM1JADWN8F8HJX88VTNX|place a microphone on it
gpt-4-turbo|normbank|01HJPTHM297YV68ZMAZRTZAZ9J|make a pizza
gpt-4-turbo|normbank|01HJPTHM30P0DT7W5MA1H0ZJQV|drink coffee or tea
gpt-4-turbo|normbank|01HJPTHM3PKFQJRZ418SYWM10E|do push ups
gpt-4-turbo|normbank|01HJPTHM4CBFXEDJNZBJJXZ6Z9|put your elbows on the counter
gpt-4-turbo|normbank|01HJPTHM53EDTGCAR81KRXW41M|select and assign stories to reporters
gpt-4-turbo|normbank|01HJPTHM5SMCM4DFRJJGCB6DCW|hunt for game
gpt-4-turbo|normbank|01HJPTHM6GNDAT4YSPK4ZATQY2|convert someone to your own beliefs
gpt-4-turbo|normbank|01HJPTHM768MJHAEAW1SAET4F7|dump waste in the sink
gpt-4-turbo|normbank|01HJPTHM7XZR9STHF44Y7M4VQG|disconnect your seatbelt
gpt-4-turbo|normbank|01HJPTHM8K2X1DTBR603YJ1C85|take a bath with someone
gpt-4-turbo|normbank|01HJPTHM990K45XVM5D7DDX3DQ|climb on the scoreboard
gpt-4-turbo|normbank|01HJPTHMA013J4FXGAQC0DPNRW|attack someone
gpt-4-turbo|normbank|01HJPTHMAQ6B3BXPSRESA1YRDB|hang paintings or photos on the walls
gpt-4-turbo|normbank|01HJPTHMBD14NMMCX6FMAEHVQ0|spin in a circle
gpt-4-turbo|normbank|01HJPTHMC4K8BCXPWX55JGT8X8|communicate with air traffic control
gpt-4-turbo|normbank|01HJPTHMCVDXBACHJZ27TV9P5V|play with your hair
gpt-4-turbo|normbank|01HJPTHMDHNAY5BM25H0R1A9TM|close the door
gpt-4-turbo|normbank|01HJPTHME7PKP03KQKQGBW49QW|hide in the dark
gpt-4-turbo|normbank|01HJPTHMES6NXDXWT1KXC6AMF1|drive without a car registration
gpt-4-turbo|normbank|01HJPTHMFGD8B1RXWSDP4PFPJ1|use personal electronic devices
gpt-4-turbo|normbank|01HJPTHMG65PHVQKHJ8GMN7PXN|walk on the parade ground
gpt-4-turbo|normbank|01HJPTHMGRHN4HP2Q4H0ZA5FAA|bring a sick animal into the shelter
gpt-4-turbo|normbank|01HJPTHMHF9D1ZCMVNV7SDM7B3|stop at a red light
gpt-4-turbo|normbank|01HJPTHMJ5E9YCW0J62D88DSF5|go on a carousel
gpt-4-turbo|normbank|01HJPTHMJP835BVF53ZXX1E7QF|put your children's pictures on it
gpt-4-turbo|normbank|01HJPTHMKCHNP5PFND21RC2QG5|get a receipt for your purchase
gpt-4-turbo|normbank|01HJPTHMM37AFKSDKG5K9S387N|take a picture with a balloon
gpt-4-turbo|normbank|01HJPTHMMTYA77EM2D6Q8P595V|assist someone in finding a desired item
gpt-4-turbo|normbank|01HJPTHMNGT0ND1CG6VM3XBB2Z|sitting in the dirt
gpt-4-turbo|normbank|01HJPTHMP2VTMY4N8H1ZMQ56D2|ride a horse
gpt-4-turbo|normbank|01HJPTHMQ0G2AF53V3AXBX6ZVH|wear leather gloves
gpt-4-turbo|normbank|01HJPTHMQRK0NFK0KV66SHAMKF|check passports and print boarding passes
gpt-4-turbo|social_iqa|01HJPTHMREZ39QS4Y0359Z2S4R|Lee was hung over and needed a big cup of coffee to get ready for a final exam in school.
gpt-4-turbo|social_iqa|01HJPTHMS6PKNZRESP0N9FWMEA|Riley got a sunburn that was painful. Riley really hated the sun.
gpt-4-turbo|social_iqa|01HJPTHMSXHX5KE77YWDN0E5GS|Austin called out to help Lee to get some work done for next week.
gpt-4-turbo|social_iqa|01HJPTHMTKJ06SZ8QW02DGM6TX|Ash was holding a weapon and looking frightened, so Sasha asked Ash to explain what was going on.
gpt-4-turbo|social_iqa|01HJPTHMV9RSFJJWWQ7H3Z5915|Sydney put flowers on the grave of the child that her team accidentally killed.
gpt-4-turbo|social_iqa|01HJPTHMW0WNR7ZP93C0EZMWQQ|Addison noticed that Austin's clothes were having static issues so he offered to give him static cling sheets for his laundry.
gpt-4-turbo|social_iqa|01HJPTHMWPS5EHQFZNBHWS1K3C|Sydney made it special for him and couldn't wait to see the look on his face when he opened it.
gpt-4-turbo|social_iqa|01HJPTHMXDBXE7ENY367M7VTKR|casey was bored so she made jesse's adjustments for him.
gpt-4-turbo|social_iqa|01HJPTHMY3N22M3M8WWCKJGSND|Skylar was supposed to meet her friend for lunch, but she was stuck in traffic.
gpt-4-turbo|social_iqa|01HJPTHMYTJW5YAB65V1C40RNS|Bailey was the center of attention because he was the funniest person in the room.
gpt-4-turbo|social_iqa|01HJPTHMZFFDA7GCK1S77S2E2S|Jesse eloped to Vegas and went to get married.
gpt-4-turbo|social_iqa|01HJPTHN06EYT3VDH8VQ73RNR2|Lee had been acting up a lot in Lee's class at school.
gpt-4-turbo|social_iqa|01HJPTHN0W0ENEYBR4W694QX2G|Sydney spent time with at her friend Sasha's house.
gpt-4-turbo|social_iqa|01HJPTHN1KTVZY1PYFGHPTG3YN|Austin and Taylor had not met for a long time, they met during Christmas.
gpt-4-turbo|social_iqa|01HJPTHN29XY8JSFRSZFTKTQT1|kai found a dog in the street and gave the dog to quinn's grandmother.
gpt-4-turbo|social_iqa|01HJPTHN307RKH368Q8JDN2HJX|Carson closed the oven behind Jordan when they were done baking it.
gpt-4-turbo|social_iqa|01HJPTHN3PZECD51253GJHXQEC|Jan pulled Kendall's hands because they just had a serious argument.
gpt-4-turbo|social_iqa|01HJPTHN4D8ERGN94F6HGJTPYN|Quinn saw Aubrey's article in the paper and showed it to her friends.
gpt-4-turbo|social_iqa|01HJPTHN54FNPBH4GB9ATPPJ8N|Sydney wasn't very good at singing but when she went to karaoke with her friends she tried anyway.
gpt-4-turbo|social_iqa|01HJPTHN5TN95JDQ7SH4DYK65J|Jan quit their job because it was both underpaid and tedious.
gpt-4-turbo|social_iqa|01HJPTHN6HJAB68ENA63DJ5EDZ|Taylor wanted to take a vacation after working a lot for the past year.
gpt-4-turbo|social_iqa|01HJPTHN78WF8D4C76GETFMBD1|After looking at many different shirts to choose from, Austin bought a new shirt.
gpt-4-turbo|social_iqa|01HJPTHN7YQR6WT7Y3Z7W8N1MD|With little regard for his own safety and exhaustion, Alex helped everyone that was in distress.
gpt-4-turbo|social_iqa|01HJPTHN8M34KJWFGT65N5N67G|Ash was hungry and discovered a leftover meal in the refrigerator.
gpt-4-turbo|social_iqa|01HJPTHN91NTKYA87KWS5BJD1H|Lee scared Quinn to death when he came around the corner unexpectedly.
gpt-4-turbo|social_iqa|01HJPTHN9S14FT3R2950MM6F0R|Addison had a lot of things to do before work. Addison made sure to feed the dog.
gpt-4-turbo|social_iqa|01HJPTHNAE1KD3JG7G9ZCS5F34|Riley got third place in the contest in the science fair at school.
gpt-4-turbo|social_iqa|01HJPTHNB5G2WPZMFM8HMTBJWG|Kendall got Casey's bike and crashed it, making Casey's parents mad.
gpt-4-turbo|social_iqa|01HJPTHNBW1V5XDKGR2JJ4XEM1|Jesse stopped smoking and got a lot healthier because of this action.
gpt-4-turbo|social_iqa|01HJPTHNGHB746CHEP45QZGJGK|Sydney shielded her eyes from the sun while laying out on the beach.
gpt-4-turbo|social_iqa|01HJPTHNHFSHA1QVJ8T8W02JY8|casey wanted to get a item so she followed the stranger far.
gpt-4-turbo|social_iqa|01HJPTHNJ6TPN8JYM1NYF7CVFZ|Aubrey liked reading very much and always went home to read a few chapters every night.
gpt-4-turbo|social_iqa|01HJPTHNJWGPEAJEDGWQ1HN3HM|Kendall had Skylar's back in the fight against bullies.
gpt-4-turbo|social_iqa|01HJPTHNKKEYKC50EM985S6ASB|Addison cut Addison loose by getting some drinks for the party.
gpt-4-turbo|social_iqa|01HJPTHNMAZW06P3KWJJKQ1CQ4|Taylot got Bailey's girlfriend a birthday gift that Bailey really wanted.
gpt-4-turbo|social_iqa|01HJPTHNMWH2RWBA7CGP5KN85Q|Cameron tied Lee's shoelaces together as a prank.
